fid,index,x,y,alti1
1,"0",120558.712636424403172,6432977.242621137760580,-2.000000000000000
2,"1",120580.092039322742494,6432977.847237479873002,5.800000190734864
3,"2",120601.471442221081816,6432978.451853821985424,5.750000000000000
4,"3",120622.850845119435689,6432979.056470163166523,5.750000000000000
5,"4",120643.066514904858195,6432976.802890643477440,5.750000000000000
6,"5",120663.282184690280701,6432974.549311124719679,5.750000000000000
7,"6",120683.497854475703207,6432972.295731605030596,5.760000228881836
8,"7",120722.081302347098244,6432974.824140055105090,5.840000152587892
9,"8",120760.664750218493282,6432977.352548505179584,6.190000057220460
10,"9",120799.248198089888319,6432979.880956955254078,6.010000228881836
11,"10",120839.557229568585171,6432988.169771176762879,-2.000000000000000
12,"11",120879.866261047282023,6432996.458585398271680,-2.000000000000000
13,"12",120920.175292525978875,6433004.747399619780481,-2.000000000000000
14,"13",120956.472707051390898,6433015.015070254914463,-2.000000000000000
15,"14",120992.770121576802921,6433025.282740890048444,5.400000095367432
16,"15",121029.067536102214945,6433035.550411524251103,6.130000114440918
17,"16",121050.793257422934403,6433055.184412822127342,1.049999952316284
18,"17",121072.518978743668413,6433074.818414119072258,3.250000000000000
19,"18",121094.244700064387871,6433094.452415416017175,0.310000002384186
20,"19",121102.693468815807137,6433124.706072933040559,3.089999914169312
21,"20",121111.142237567240954,6433154.959730450995266,6.820000171661378
22,"21",121119.591006318660220,6433185.213387968018651,5.010000228881836
23,"22",121117.523933210046380,6433219.644917673431337,6.610000133514404
24,"23",121115.456860101417988,6433254.076447380706668,6.670000076293946
25,"24",121113.389786992804147,6433288.507977086119354,6.510000228881836
26,"25",121099.099866861171904,6433327.271369666792452,6.030000209808350
27,"26",121084.809946729525109,6433366.034762245602906,5.780000209808350
28,"27",121070.520026597907417,6433404.798154825344682,6.010000228881836
29,"28",121046.326468582672533,6433445.211074134334922,6.090000152587892
30,"29",121022.132910567466752,6433485.623993443325162,6.380000114440918
31,"30",120997.939352552246419,6433526.036912752315402,6.460000038146974
32,"31",120982.699720037897350,6433565.856701880693436,6.300000190734864
33,"32",120967.460087523562834,6433605.676491008140147,6.420000076293946
34,"33",120952.220455009199213,6433645.496280136518180,6.800000190734864
35,"34",120945.652974922661087,6433679.225768195465207,6.760000228881836
36,"35",120939.085494836093858,6433712.955256255343556,7.090000152587892
37,"36",120932.518014749555732,6433746.684744315221906,7.090000152587892
38,"37",120929.917376582336146,6433769.906619109213352,8.149999618530273
39,"38",120927.316738415131113,6433793.128493904136121,7.880000114440918
40,"39",120924.716100247911527,6433816.350368698127568,7.880000114440918
41,"40",120930.636627785963356,6433841.588157446123660,11.359999656677246
42,"41",120936.557155324015184,6433866.825946194119751,12.670000076293945
43,"42",120942.477682862067013,6433892.063734942115843,12.670000076293945
44,"43",120953.733369492445490,6433913.197234222665429,15.470000267028809
45,"44",120964.989056122823968,6433934.330733503215015,20.280000686645508
46,"45",120976.244742753216997,6433955.464232783764601,7.800000190734864
47,"46",120988.786667185981059,6433973.763843460939825,7.800000190734864
48,"47",121001.328591618759674,6433992.063454139046371,31.950000762939453
49,"48",121013.870516051509185,6434010.363064816221595,31.950000762939453
50,"49",121028.816333908573142,6434030.470749557949603,33.060001373291016
51,"50",121043.762151765622548,6434050.578434298746288,34.720001220703125
52,"51",121058.707969622686505,6434070.686119040474296,35.090000152587891
53,"52",121067.588072839265806,6434091.495274632237852,35.090000152587891
54,"53",121076.468176055830554,6434112.304430224932730,35.270000457763672
55,"54",121085.348279272409854,6434133.113585816696286,35.270000457763672
56,"55",121093.289237210949068,6434163.063195387832820,35.250000000000000
57,"56",121101.230195149473730,6434193.012804958969355,35.990001678466797
58,"57",121109.171153088027495,6434222.962414530105889,35.840000152587891
59,"58",121121.743009458950837,6434255.617028389126062,35.930000305175781
60,"59",121134.314865829874179,6434288.271642248146236,36.220001220703125
61,"60",121146.886722200812073,6434320.926256107166409,36.400001525878906
62,"61",121160.783398593222955,6434354.724653962068260,36.360000610351562
63,"62",121174.680074985633837,6434388.523051817901433,36.400001525878906
64,"63",121188.576751378044719,6434422.321449672803283,36.810001373291016
65,"64",121204.988595263668685,6434457.109635058790445,37.540000915527344
66,"65",121221.400439149278100,6434491.897820444777608,38.520000457763672
67,"66",121237.812283034887514,6434526.686005830764771,38.400001525878906
68,"67",121263.134260373961297,6434553.184204421006143,38.310001373291016
69,"68",121288.456237712991424,6434579.682403012178838,38.310001373291016
70,"69",121313.778215052065207,6434606.180601602420211,38.990001678466797
71,"70",121349.930983117694268,6434626.785633997991681,39.880001068115234
72,"71",121386.083751183352433,6434647.390666394494474,40.560001373291016
73,"72",121422.236519248996046,6434667.995698790065944,40.880001068115234
74,"73",121464.890415814108565,6434682.047668865881860,41.400001525878906
75,"74",121507.544312379221083,6434696.099638941697776,39.840000152587891
76,"75",121550.198208944362705,6434710.151609017513692,42.650001525878906
77,"76",121596.655820823274553,6434720.663170789368451,42.700000762939453
78,"77",121643.113432702215505,6434731.174732561223209,43.950000762939453
79,"78",121689.571044581156457,6434741.686294332146645,44.610000610351562
80,"79",121736.499752728152089,6434752.153964798897505,43.400001525878906
81,"80",121783.428460875176825,6434762.621635265648365,43.220001220703125
82,"81",121830.357169022157905,6434773.089305731467903,43.400001525878906
83,"82",121876.546720489379368,6434786.877667564898729,32.290000915527344
84,"83",121922.736271956600831,6434800.666029398329556,39.750000000000000
85,"84",121968.925823423822294,6434814.454391232691705,43.790000915527344
86,"85",122014.381526338213007,6434828.506717243231833,38.340000152587891
87,"86",122059.837229252603720,6434842.559043254703283,44.970001220703125
88,"87",122105.292932166994433,6434856.611369266174734,50.770000457763672
89,"88",122149.487070239600143,6434872.027163489721715,50.840000152587891
90,"89",122193.681208312191302,6434887.442957712337375,51.200000762939453
91,"90",122237.875346384797012,6434902.858751935884356,51.560001373291016
