fid,index,x,y,alti1,CODE_12
"1","0",120558.712636424,6432977.24262114,-2,"121"
"2","1",120580.092039323,6432977.84723748,5.80000019073486,"121"
"3","2",120601.471442221,6432978.45185382,5.75,"121"
"4","3",120622.850845119,6432979.05647016,5.75,"121"
"5","4",120643.066514905,6432976.80289064,5.75,"121"
"6","5",120663.28218469,6432974.54931112,5.75,"121"
"7","6",120683.497854476,6432972.29573161,5.76000022888184,"121"
"8","7",120722.081302347,6432974.82414006,5.84000015258789,"121"
"9","8",120760.664750218,6432977.35254851,6.19000005722046,"121"
"10","9",120799.24819809,6432979.88095696,6.01000022888184,"121"
"11","10",120839.557229569,6432988.16977118,-2,"123"
"12","11",120879.866261047,6432996.4585854,-2,"123"
"13","12",120920.175292526,6433004.74739962,-2,"123"
"14","13",120956.472707051,6433015.01507025,-2,"123"
"15","14",120992.770121577,6433025.28274089,5.40000009536743,"123"
"16","15",121029.067536102,6433035.55041152,6.13000011444092,"123"
"17","16",121050.793257423,6433055.18441282,1.04999995231628,"123"
"18","17",121072.518978744,6433074.81841412,3.25,"123"
"19","18",121094.244700064,6433094.45241542,0.310000002384186,"123"
"20","19",121102.693468816,6433124.70607293,3.08999991416931,"123"
"21","20",121111.142237567,6433154.95973045,6.82000017166138,"123"
"22","21",121119.591006319,6433185.21338797,5.01000022888184,"123"
"23","22",121117.52393321,6433219.64491767,6.6100001335144,"121"
"24","23",121115.456860101,6433254.07644738,6.67000007629395,"121"
"25","24",121113.389786993,6433288.50797709,6.51000022888184,"121"
"26","25",121099.099866861,6433327.27136967,6.03000020980835,"121"
"27","26",121084.80994673,6433366.03476225,5.78000020980835,"121"
"28","27",121070.520026598,6433404.79815483,6.01000022888184,"121"
"29","28",121046.326468583,6433445.21107413,6.09000015258789,"121"
"30","29",121022.132910567,6433485.62399344,6.38000011444092,"121"
"31","30",120997.939352552,6433526.03691275,6.46000003814697,"121"
"32","31",120982.699720038,6433565.85670188,6.30000019073486,"121"
"33","32",120967.460087524,6433605.67649101,6.42000007629395,"121"
"34","33",120952.220455009,6433645.49628014,6.80000019073486,"121"
"35","34",120945.652974923,6433679.2257682,6.76000022888184,"121"
"36","35",120939.085494836,6433712.95525626,7.09000015258789,"121"
"37","36",120932.51801475,6433746.68474432,7.09000015258789,"121"
"38","37",120929.917376582,6433769.90661911,8.14999961853027,"121"
"39","38",120927.316738415,6433793.1284939,7.88000011444092,"121"
"40","39",120924.716100248,6433816.3503687,7.88000011444092,"121"
"41","40",120930.636627786,6433841.58815745,11.3599996566772,"121"
"42","41",120936.557155324,6433866.82594619,12.6700000762939,"121"
"43","42",120942.477682862,6433892.06373494,12.6700000762939,"121"
"44","43",120953.733369492,6433913.19723422,15.4700002670288,"121"
"45","44",120964.989056123,6433934.3307335,20.2800006866455,"112"
"46","45",120976.244742753,6433955.46423278,7.80000019073486,"112"
"47","46",120988.786667186,6433973.76384346,7.80000019073486,"112"
"48","47",121001.328591619,6433992.06345414,31.9500007629395,"112"
"49","48",121013.870516052,6434010.36306482,31.9500007629395,"112"
"50","49",121028.816333909,6434030.47074956,33.060001373291,"112"
"51","50",121043.762151766,6434050.5784343,34.7200012207031,"112"
"52","51",121058.707969623,6434070.68611904,35.0900001525879,"112"
"53","52",121067.588072839,6434091.49527463,35.0900001525879,"112"
"54","53",121076.468176056,6434112.30443022,35.2700004577637,"112"
"55","54",121085.348279272,6434133.11358582,35.2700004577637,"112"
"56","55",121093.289237211,6434163.06319539,35.25,"112"
"57","56",121101.230195149,6434193.01280496,35.9900016784668,"112"
"58","57",121109.171153088,6434222.96241453,35.8400001525879,"112"
"59","58",121121.743009459,6434255.61702839,35.9300003051758,"112"
"60","59",121134.31486583,6434288.27164225,36.2200012207031,"112"
"61","60",121146.886722201,6434320.92625611,36.4000015258789,"112"
"62","61",121160.783398593,6434354.72465396,36.3600006103516,"112"
"63","62",121174.680074986,6434388.52305182,36.4000015258789,"112"
"64","63",121188.576751378,6434422.32144967,36.810001373291,"112"
"65","64",121204.988595264,6434457.10963506,37.5400009155273,"112"
"66","65",121221.400439149,6434491.89782044,38.5200004577637,"112"
"67","66",121237.812283035,6434526.68600583,38.4000015258789,"112"
"68","67",121263.134260374,6434553.18420442,38.310001373291,"112"
"69","68",121288.456237713,6434579.68240301,38.310001373291,"112"
"70","69",121313.778215052,6434606.1806016,38.9900016784668,"112"
"71","70",121349.930983118,6434626.785634,39.8800010681152,"112"
"72","71",121386.083751183,6434647.39066639,40.560001373291,"112"
"73","72",121422.236519249,6434667.99569879,40.8800010681152,"112"
"74","73",121464.890415814,6434682.04766887,41.4000015258789,"112"
"75","74",121507.544312379,6434696.09963894,39.8400001525879,"112"
"76","75",121550.198208944,6434710.15160902,42.6500015258789,"112"
"77","76",121596.655820823,6434720.66317079,42.7000007629395,"112"
"78","77",121643.113432702,6434731.17473256,43.9500007629395,"112"
"79","78",121689.571044581,6434741.68629433,44.6100006103516,"112"
"80","79",121736.499752728,6434752.1539648,43.4000015258789,"112"
"81","80",121783.428460875,6434762.62163527,43.2200012207031,"112"
"82","81",121830.357169022,6434773.08930573,43.4000015258789,"112"
"83","82",121876.546720489,6434786.87766756,32.2900009155273,"112"
"84","83",121922.736271957,6434800.6660294,39.75,"112"
"85","84",121968.925823424,6434814.45439123,43.7900009155273,"112"
"86","85",122014.381526338,6434828.50671724,38.3400001525879,"112"
"87","86",122059.837229253,6434842.55904325,44.9700012207031,"112"
"88","87",122105.292932167,6434856.61136927,50.7700004577637,"112"
"89","88",122149.48707024,6434872.02716349,50.8400001525879,"112"
"90","89",122193.681208312,6434887.44295771,51.2000007629395,"112"
"91","90",122237.875346385,6434902.85875194,51.560001373291,"112"
"92","91",122280.803496176,6434916.40532988,51.7400016784668,"112"
"93","92",122323.731645968,6434929.95190782,51.8800010681152,"112"
"94","93",122366.65979576,6434943.49848576,53.2000007629395,"112"
"95","94",122408.274626471,6434957.19911445,52.3400001525879,"112"
"96","95",122449.889457183,6434970.89974313,53.6599998474121,"112"
"97","96",122491.504287895,6434984.60037181,53.7900009155273,"112"
"98","97",122534.306812015,6434994.10068517,44.560001373291,"112"
"99","98",122577.109336135,6435003.60099853,45.6500015258789,"112"
"100","99",122619.911860256,6435013.10131188,46.810001373291,"112"
"101","100",122663.519450299,6435020.20457871,49.4500007629395,"112"
"102","101",122707.127040342,6435027.30784554,54.2700004577637,"112"
"103","102",122750.734630385,6435034.41111237,54.3600006103516,"112"
"104","103",122791.287835704,6435043.18577506,55.4000015258789,"112"
"105","104",122831.841041023,6435051.96043774,54.8400001525879,"112"
"106","105",122872.394246342,6435060.73510042,54.4700012207031,"112"
"107","106",122908.646984132,6435076.85508181,54.2400016784668,"112"
"108","107",122944.899721922,6435092.9750632,53.6500015258789,"112"
"109","108",122981.152459712,6435109.09504459,53.310001373291,"112"
"110","109",123016.722660844,6435124.8192968,52.060001373291,"112"
"111","110",123052.292861975,6435140.54354901,51.5200004577637,"112"
"112","111",123087.863063107,6435156.26780121,50.3400001525879,"112"
"113","112",123120.620841635,6435172.87175112,47.8300018310547,"112"
"114","113",123153.378620163,6435189.47570103,47.5,"112"
"115","114",123186.136398691,6435206.07965094,47.6800003051758,"112"
"116","115",123217.402151198,6435226.70823148,47.6800003051758,"112"
"117","116",123248.667903705,6435247.33681203,46.8300018310547,"112"
"118","117",123279.933656213,6435267.96539257,46.8600006103516,"112"
"119","118",123306.398207881,6435292.44280446,39.2700004577637,"112"
"120","119",123332.862759549,6435316.92021634,32.9300003051758,"112"
"121","120",123359.327311217,6435341.39762822,29.6900005340576,"112"
"122","121",123386.634528041,6435363.43415232,19.1499996185303,"112"
"123","122",123413.941744864,6435385.47067642,18.7800006866455,"112"
"124","123",123441.248961688,6435407.50720051,13.8500003814697,"112"
"125","124",123470.659966165,6435424.0236431,18.1000003814697,"112"
"126","125",123500.070970642,6435440.54008568,17.8199996948242,"112"
"127","126",123529.481975119,6435457.05652826,13.1499996185303,"112"
"128","127",123560.287689956,6435473.85890811,13.1499996185303,"112"
"129","128",123591.093404793,6435490.66128796,13.25,"112"
"130","129",123621.89911963,6435507.4636678,13.6300001144409,"112"
"131","130",123653.202029026,6435521.1651597,13.7200002670288,"112"
"132","131",123684.504938422,6435534.8666516,27.3999996185303,"112"
"133","132",123715.807847818,6435548.5681435,30.6900005340576,"112"
"134","133",123754.458089621,6435557.29933773,32.6599998474121,"112"
"135","134",123793.108331423,6435566.03053196,35.4700012207031,"112"
"136","135",123831.758573225,6435574.76172619,43.6599998474121,"112"
"137","136",123873.599441677,6435579.38027107,44.6800003051758,"112"
"138","137",123915.440310129,6435583.99881595,46.6800003051758,"112"
"139","138",123957.281178581,6435588.61736083,49.8600006103516,"112"
"140","139",123999.545370158,6435594.59946923,49.0900001525879,"112"
"141","140",124041.809561735,6435600.58157763,50.9500007629395,"112"
"142","141",124084.073753312,6435606.56368603,51.8300018310547,"112"
"143","142",124127.325256505,6435609.77467026,52.5900001525879,"242"
